CODCLI,CODPROD,EAN,PRODUTO,ESPECIE,PORTE,IDADE,DEPARTAMENTO,DT_VENDA,QT_VENDA
55740,2301,4002301001027,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD SALMÃO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
13534,2301,4002301001027,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD SALMÃO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,2
13534,2301,4002301001027,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD SALMÃO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
15845,2301,4002301001027,RAÇÃO SECA DOG EXCELLENCE CÃES RP AD SALMÃO 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
317268,10990,4010990001020,RAÇÃO SECA DOG EXCELLENCE CÃES RP FILHOTE FRANGO 1KG GRANEL,CÃES,PEQUENO,FILHOTE,ALIMENTOS,00:00.0,1
55740,10990,4010990001020,RAÇÃO SECA DOG EXCELLENCE CÃES RP FILHOTE FRANGO 1KG GRANEL,CÃES,PEQUENO,FILHOTE,ALIMENTOS,00:00.0,1
1,10990,4010990001020,RAÇÃO SECA DOG EXCELLENCE CÃES RP FILHOTE FRANGO 1KG GRANEL,CÃES,PEQUENO,FILHOTE,ALIMENTOS,00:00.0,1
271503,2637,4002637001029,RAÇÃO SECA DOG EXCELLENCE CÃES SP LARGE AD 1KG GRANEL,CÃES,GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,5
1,2259,4002259001025,RAÇÃO SECA DOG EXCELLENCE CÃES SP LARGE PUPPY  1KG GRANEL,CÃES,GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
317689,2527,4002527001023,RAÇÃO SECA DOG EXCELLENCE CÃES SP MEDIUM PUPPY 1KG GRANEL,CÃES,MÉDIO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
1,2284,4002284001021,RAÇÃO SECA DOG EXCELLENCE CÃES SP SMALL PUPPY 1KG GRANEL,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
16930,13967,4013967001023,RAÇÃO SECA DOG EXCELLENCE CÃES SÊNIOR RM E RG 1KG GRANEL,CÃES,MÉDIO|GRANDE,SÊNIOR,ALIMENTOS,00:00.0,2
306802,9256,4009256001027,RAÇÃO SECA DOG EXCELLENCE CÃES SÊNIOR RP 1KG GRANEL,CÃES,PEQUENO,SÊNIOR,ALIMENTOS,00:00.0,1
63777,7004,7898923563657,RAÇÃO SECA DOG EXCELLENCE PARA CÃES ADULTOS RAÇAS MÉDIAS CORDEIRO 15 KG,CÃES,MÉDIO,ADULTO,ALIMENTOS,00:00.0,1
301551,7004,7898923563657,RAÇÃO SECA DOG EXCELLENCE PARA CÃES ADULTOS RAÇAS MÉDIAS CORDEIRO 15 KG,CÃES,MÉDIO,ADULTO,ALIMENTOS,00:00.0,1
62136,11350,7898923564203,RAÇÃO SECA DOG EXCELLENCE PREMIUM MULTI PARA CÃES ADULTOS CARNE E FRANGO 12 KG,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,1
65243,261593,7908320400094,"RAÇÃO SECA HERCOSUL BIOFRESH PARA CÃES ADULTOS RAÇAS PEQUENAS E MINIS MIX DE CARNES, FRUTAS, LEGUMES E ERVAS 1KG",CÃES,PEQUENO,ADULTO,ALIMENTOS,00:00.0,1
21144,2459,7898923563404,RAÇÃO SECA DOG EXCELLENCE SUPER PREMIUM PARA CÃES ADULTOS RAÇAS MÉDIAS FRANGO 15 KG,CÃES,MÉDIO,ADULTO,ALIMENTOS,00:00.0,1
1,2456,7898923563374,RAÇÃO SECA DOG EXCELLENCE SUPER PREMIUM PARA CÃES FILHOTES RAÇAS MÉDIAS FRANGO 3 KG,CÃES,MÉDIO,FILHOTE,ALIMENTOS,00:00.0,1
1,259318,7898256301346,RAÇÃO SECA GRANVITA HOT DOG PREMIUM SEM CORANTES PARA CÃES ADULTOS CARNE E FRANGO 15 KG,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,4
61359,259319,7898256301353,RAÇÃO SECA GRANVITA HOT DOG PREMIUM SEM CORANTES PARA CÃES ADULTOS CARNE E FRANGO 25 KG,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,1
